FID_1,STATE,COUNTY,AREA,ACRES,Area_Type,_ZONE_NUMB,_HOUSEHOLD,AVERAGE_WO,AVERAGE_PE,AVERAGE_AU,TOTAL_EMPL,LAND_AREA_,POP_DENSIT,EMP_DENSIT,URBAN_AREA,TOTAL_AUTO,TAZ_LOCATI,_PERC_EMPL,PERC_EMPL_,PERC_EMPL1,TAZ_N,2010POP,MLU2010,MLU2020,EMP2010,Count_,Sum_CarbEM,Avg_CarbEM,Sum_TRIPDI,Avg_TRIPDI,Sum_TRIPSP,Avg_TRIPSP,Sum_TRIPDU,Avg_TRIPDU,CarEMTAZ,HH2010
78,39,061,2226970.23700000000,51.12400000000,2,98,21.00,0.91,2.57,2.19,703.00,51.00,1.00,13.70,0.00,46.00,1.00,0.00,0.31,0.69,98,51,0.21976810191,0.00000000000,700,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06900000000,22
79,39,061,11999103.51700000000,275.46200000000,2,89,113.00,1.65,2.58,1.47,2370.00,275.00,1.00,8.60,0.00,166.00,5.00,0.43,0.49,0.08,89,275,0.32872421480,0.00000000000,2369,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30600000000,97
80,39,061,6552049.29800000000,150.41400000000,2,95,161.00,1.62,2.47,1.94,43.00,150.00,2.60,0.20,0.00,312.00,5.00,0.21,0.67,0.12,95,391,0.08664129809,0.00000000000,30,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88600000000,281
81,39,061,23878316.27000000000,548.17100000000,2,99,832.00,1.33,2.44,1.86,2103.00,548.00,3.70,3.80,0.00,1549.00,1.00,0.08,0.53,0.39,99,2028,0.75481363097,0.00000000000,2083,3,0.00980131,0.00326710,23.34023718,7.78007906,79.93033333,26.64344444,2743.70384620,914.56794873,2.27400000000,721
82,39,061,23563516.55200000000,540.94400000000,2,100,843.00,1.21,2.39,1.99,2265.00,540.00,3.70,4.10,0.00,1674.00,1.00,0.03,0.82,0.15,100,2001,0.79094310944,0.00000000000,2218,2,0.00365891,0.00182945,7.81619048,3.90809524,43.05676190,21.52838095,1075.09661020,537.54830510,3.17000000000,1005
83,39,061,2639214.53800000000,60.58800000000,1,101,198.00,1.00,1.75,1.66,977.00,60.00,5.70,16.10,1.00,329.00,1.00,0.07,0.65,0.27,101,345,0.74965375027,0.00000000000,975,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16500000000,71
84,39,061,6285848.12100000000,144.30300000000,1,102,585.00,1.14,2.00,1.66,550.00,144.00,8.10,3.80,1.00,973.00,1.00,0.07,0.75,0.18,102,1169,0.43341510221,0.00000000000,548,2,0.00412041,0.00206020,7.74860294,3.87430147,41.57036765,20.78518382,1074.91477270,537.45738635,0.57300000000,247
85,39,061,12423023.63100000000,285.19300000000,2,104,638.00,1.36,2.76,2.03,942.00,285.00,6.10,3.30,1.00,1294.00,1.00,0.04,0.89,0.07,104,1740,0.48389717725,0.00000000000,941,2,0.00589590,0.00294795,10.23225000,5.11612500,39.14875000,19.57437500,1757.03474910,878.51737455,2.31500000000,734
86,39,061,15261279.01500000000,350.35100000000,2,105,82.00,1.19,2.50,1.41,4353.00,350.00,0.50,12.40,1.00,116.00,1.00,0.37,0.57,0.06,105,175,0.12779602286,0.00000000000,4344,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.55200000000,175
87,39,061,16377652.22100000000,375.97900000000,2,106,141.00,0.91,1.73,1.92,4129.00,375.00,0.60,10.90,1.00,271.00,1.00,0.18,0.80,0.02,106,226,0.17091720870,0.00000000000,4098,1,0.00183109,0.00183109,3.43324324,3.43324324,18.55351351,18.55351351,608.94285710,608.94285710,0.00000000000,0
